City,Cloudiness,Country,timestamp,Humidity,Lat,Lng,MaxTemp,WindSpeed,absLat
auburn,90,US,1570052873,76,44.1,-70.23,55.99,12.75,44.1
auki,10,NG,1570050747,77,12.18,6.51,75.9,8.34,12.18
avarua,100,CK,1570050399,61,-21.21,-159.78,77,10.29,21.21
avaton,20,GR,1570052946,88,40.97,24.8,70,4.7,40.97
avera,20,US,1570050946,37,33.19,-82.53,96.8,1.39,33.19
awjilah,0,LY,1570051006,28,29.14,21.3,78.36,14.12,29.14
axim,99,GH,1570050983,91,4.87,-2.24,76.09,6.22,4.87
ayacucho,75,PE,1570050772,59,-13.16,-74.23,64.4,3.36,13.16
ayagoz,0,KZ,1570050957,38,47.96,80.43,32.55,11.77,47.96
ayan,0,IR,1570047508,37,38.23,44.7,47.33,2.15,38.23
babushkin,0,RU,1570050790,60,51.72,105.86,38.31,6.44,51.72
bagdarin,0,RU,1570050751,63,54.44,113.59,21.57,2.33,54.44
bagepalli,75,IN,1570050991,100,13.78,77.8,73.4,2.24,13.78
baghdad,40,IQ,1570047358,26,33.3,44.38,93.2,9.17,33.3
bahia blanca,16,AR,1570051022,48,-38.72,-62.27,51.94,15.93,38.72
bahia de caraquez,20,EC,1570051002,69,-0.6,-80.42,77,12.75,0.6
bainbridge,40,US,1570047544,39,30.9,-84.58,95,8.05,30.9
baiyin,0,CN,1570051569,93,36.55,104.13,42.8,2.24,36.55
baker city,1,US,1570050981,32,44.77,-117.83,57,6.93,44.77
balatonfured,75,HU,1570051554,100,46.96,17.87,55.4,4.7,46.96
balikpapan,38,ID,1570051514,97,-1.24,116.86,70.48,2.06,1.24
balkhash,0,KZ,1570051002,25,46.84,74.98,41.64,14.94,46.84
ballina,100,IE,1570050719,88,54.11,-9.15,50,1.01,54.11
bambanglipuro,100,ID,1570047509,90,-7.95,110.28,75,4.5,7.95
bambous virieux,75,MU,1570050716,88,-20.34,57.76,75.2,11.41,20.34
banda aceh,100,ID,1570050964,74,5.56,95.32,81.06,8.3,5.56
bandarbeyla,25,SO,1570050993,77,9.49,50.81,76.24,4.65,9.49
bandrele,0,YT,1570051632,88,-12.91,45.19,75.2,2.24,12.91
bandundu,71,CD,1570051612,83,-3.32,17.38,73.74,2.44,3.32
bani,0,YE,1570052910,66,16.02,42.93,87.33,1.34,16.02
bani walid,0,LY,1570047568,45,31.76,14,70.21,8.72,31.76
banjar,91,ID,1570051623,92,-7.37,108.54,71.7,0.18,7.37
bar harbor,75,US,1570047506,71,44.39,-68.2,53.01,12.75,44.39
barabai,40,ID,1570050704,98,-2.59,115.38,72.76,1.34,2.59
barcelona,20,ES,1570052637,73,41.38,2.18,73,6.93,41.38
barcelos,13,BR,1570047307,54,-0.97,-62.93,89.5,4.45,0.97
barh,75,IN,1570052823,94,25.47,85.71,78.8,3.36,25.47
barinas,95,VE,1570051613,77,8.64,-70.23,83.49,2.57,8.64
barmer,12,IN,1570052914,69,25.74,71.4,81.64,13.58,25.74
barquisimeto,75,VE,1570050690,52,10.07,-69.32,87.8,9.17,10.07
barras,78,BR,1570051000,52,-4.24,-42.29,84.03,9.95,4.24
barrow,0,AR,1570050442,51,-38.31,-60.23,50.57,10.94,38.31
bartlesville,1,US,1570052770,49,36.75,-95.98,91.4,13.87,36.75
baruun-urt,100,MN,1570050999,94,46.68,113.28,33.02,18.61,46.68
batagay,100,RU,1570050800,47,67.65,134.64,25.08,4.88,67.65
batagay-alyta,100,RU,1570050782,72,67.8,130.41,10,4.85,67.8
batemans bay,0,AU,1570050989,69,-35.71,150.18,55,2.73,35.71
bathsheba,20,BB,1570047532,62,13.22,-59.52,87.8,16.11,13.22
batsfjord,75,NO,1570051631,86,70.63,29.72,37.4,14.99,70.63
batticaloa,69,LK,1570047575,87,7.71,81.69,74.91,2.95,7.71
bauchi,79,NG,1570050685,77,10.31,9.85,73.39,3.27,10.31
bay roberts,90,CA,1570052930,86,47.58,-53.28,43,16.11,47.58
baykit,100,RU,1570051611,98,61.68,96.39,33.97,5.17,61.68
beaupre,75,CA,1570050944,87,47.04,-70.9,46.99,6.93,47.04
beberibe,20,BR,1570050944,69,-4.18,-38.13,80.6,14.99,4.18
beian,75,NO,1570047593,87,63.66,9.57,51.01,5.82,63.66
beidao,84,CN,1570050785,87,34.57,105.89,58.56,1.21,34.57
beisfjord,0,NO,1570052819,55,68.38,17.6,39,19.46,68.38
belaya gora,100,RU,1570050707,78,68.54,146.19,27.71,24.18,68.54
belle fourche,75,US,1570050749,100,44.67,-103.85,42.01,3.36,44.67
belmonte,67,PT,1570047526,65,40.36,-7.35,57.99,2.89,40.36
beloha,100,MG,1570047549,78,-25.17,45.06,70.28,12.75,25.17
belyy yar,0,RU,1570050964,92,53.6,91.39,23,3.2,53.6
bend,1,US,1570052953,35,44.06,-121.32,59,6.93,44.06
benjamin constant,75,BR,1570047531,65,-4.38,-70.03,82.4,14.99,4.38
berdigestyakh,49,RU,1570051011,96,62.1,126.7,23.28,5.82,62.1
berezovyy,100,RU,1570052895,83,51.67,135.7,31.87,2.35,51.67
beringovskiy,100,RU,1570051035,75,63.05,179.32,33.15,2.62,63.05
berlevag,75,NO,1570050733,74,70.86,29.09,37.4,27.51,70.86
bethanien,0,NA,1570047618,21,-26.5,17.16,61.62,13.71,26.5
bethel,90,US,1570050729,87,60.79,-161.76,50,12.75,60.79
beyneu,93,KZ,1570051608,42,45.32,55.19,59.35,17.98,45.32
bhadrachalam,28,IN,1570050807,88,17.67,80.89,75.05,1.32,17.67
bhag,35,PK,1570052830,36,29.04,67.82,84.54,2.19,29.04
bhatgaon,70,IN,1570051595,91,21.15,81.7,72.24,5.32,21.15
biak,7,ID,1570050919,96,-0.91,122.88,60.18,3.04,0.91
biggar,7,CA,1570052882,99,52.06,-107.98,35.34,8.08,52.06
bilibino,100,RU,1570050718,94,68.06,166.44,11.26,5.48,68.06
billings,75,US,1570050832,70,45.79,-108.5,48,6.85,45.79
bilma,0,NE,1570050761,15,18.69,12.92,89.79,9.08,18.69
binzhou,0,CN,1570050795,57,37.38,117.96,64,3.85,37.38
birao,95,CF,1570051589,85,10.3,22.78,72.89,4.52,10.3
birjand,0,IR,1570050784,25,32.86,59.22,62.6,9.17,32.86
biryusinsk,100,RU,1570052939,71,55.96,97.82,33.87,5.73,55.96
birzai,100,LT,1570047583,93,56.2,24.75,47.04,3,56.2
biscarrosse,90,FR,1570051631,87,44.41,-1.18,62.01,2.24,44.41
bisira,95,PA,1570047627,93,8.52,-81.71,72.57,4.09,8.52
biskamzha,0,RU,1570052924,67,53.45,89.53,24.9,1.68,53.45
bitung,20,ID,1570051554,94,1.44,125.19,71.6,2.24,1.44
blackpool,75,IE,1570050788,81,51.91,-8.47,46.4,6.93,51.91
blackwater,0,GB,1570050683,93,51.33,-0.78,48.2,1.12,51.33
blagoveshchenka,0,RU,1570051584,59,52.83,79.87,46.25,3,52.83
bluff,0,AU,1570050701,76,-23.58,149.07,62.32,14.56,23.58
bo rai,97,TH,1570051013,76,12.57,102.54,84.99,1.88,12.57
boa vista,20,BR,1570050748,41,2.82,-60.67,93.2,10.29,2.82
bodden town,40,KY,1570050782,74,19.28,-81.25,87.8,8.05,19.28
bom jesus,0,BR,1570047626,61,-5.99,-35.58,82.4,11.41,5.99
bonavista,25,CA,1570047515,84,48.65,-53.11,44.01,8.01,48.65
bonnyville,20,CA,1570047582,52,54.27,-110.74,44.6,6.93,54.27
bonthe,100,SL,1570047539,87,7.53,-12.5,78.38,7.36,7.53
booue,95,GA,1570051585,95,-0.09,11.94,72.64,2.62,0.09
boralday,40,KZ,1570051560,86,43.36,76.86,41,4.47,43.36
bosaso,2,SO,1570051390,73,11.28,49.18,85.47,6.64,11.28
bose,0,IT,1570051569,42,45.46,8.01,66.99,6.93,45.46
bougouni,50,ML,1570047626,76,11.42,-7.49,77.55,2.98,11.42
boulder city,1,US,1570050956,7,35.98,-114.83,78.01,1.81,35.98
bowen,75,AU,1570051007,93,-20.01,148.25,66.2,9.17,20.01
boyolangu,69,ID,1570047550,94,-8.09,111.9,69,4.63,8.09
boyuibe,90,BO,1570050747,63,-20.43,-63.28,64.4,4.7,20.43
brae,67,GB,1570050992,93,60.4,-1.35,50,12.75,60.4
bredasdorp,76,ZA,1570050678,87,-34.53,20.04,57.2,5.82,34.53
brockville,90,CA,1570052673,66,44.59,-75.69,53.6,6.93,44.59
broken hill,0,AU,1570050779,16,-31.97,141.45,75.2,12.75,31.97
broome,75,GB,1570050467,76,52.47,1.45,51.01,9.17,52.47
brownsville,40,US,1570050831,52,25.91,-97.49,91.4,11.41,25.91
brunico,40,IT,1570050744,87,46.8,11.94,57.2,2.24,46.8
buala,100,SB,1570051002,82,-8.15,159.59,79.48,12.97,8.15
bubaque,100,GW,1570050987,83,11.28,-15.83,81.15,10.38,11.28
buchanan,75,LR,1570047629,94,5.88,-10.05,77,9.17,5.88
buckeye,5,US,1570051310,18,33.37,-112.58,91,3.4,33.37
bud,90,NO,1570050952,81,62.91,6.91,48.2,6.93,62.91
buenavista,75,CO,1570052914,88,4.36,-75.74,80.6,4.7,4.36
buin,20,CL,1570050682,41,-33.73,-70.74,62.6,6.93,33.73
bulaevo,31,KZ,1570052856,66,54.91,70.44,39.7,9.37,54.91
bulgan,0,MN,1570047542,90,48.81,103.53,18.64,3.15,48.81
bull savanna,100,JM,1570050672,71,17.89,-77.59,84.7,8.97,17.89
buluang,75,PH,1570051023,88,10.47,123.98,78.8,3.36,10.47
bulungu,93,CD,1570051563,88,-4.54,18.6,72.67,1.23,4.54
bumba,57,CD,1570050961,95,2.18,22.47,70.24,2.39,2.18
bunia,100,CD,1570050755,81,1.56,30.25,65.13,2.04,1.56
buraydah,0,SA,1570047588,29,26.33,43.97,87.8,8.05,26.33
burgeo,100,CA,1570047628,63,47.61,-57.61,46.38,13.73,47.61
burns lake,100,CA,1570051018,90,54.23,-125.76,41.59,1.99,54.23
busselton,76,AU,1570050673,67,-33.64,115.35,55.99,9.4,33.64
butaritari,100,KI,1570050698,62,3.07,172.79,84.64,5.19,3.07
butembo,64,CD,1570050988,96,0.12,29.29,60.96,3.09,0.12
butterworth,75,MY,1570052938,94,5.4,100.37,77,4.7,5.4
bwanga,40,TZ,1570051032,81,-3.03,31.76,68.37,2.53,3.03
bykovo,0,RU,1570051574,70,49.76,45.39,52.35,2.13,49.76
byron bay,0,AU,1570050669,87,-28.65,153.62,61,1.12,28.65
cabedelo,0,BR,1570051517,78,-6.97,-34.84,77,9.17,6.97
cabo rojo,100,PR,1570052929,80,18.09,-67.15,84,15.77,18.09
cabo san lucas,20,MX,1570050452,58,22.89,-109.91,89.01,6.93,22.89
caconda,94,AO,1570050703,58,-13.73,15.06,67.44,7.96,13.73
cairns,75,AU,1570050944,83,-16.92,145.77,71.6,9.17,16.92
calamar,100,CO,1570052957,62,1.96,-72.65,86.25,3.78,1.96
calbuco,0,CL,1570047627,57,-41.77,-73.13,53.6,10.29,41.77
calvinia,100,ZA,1570052944,48,-31.47,19.78,56.71,5.91,31.47
cam ranh,20,VN,1570050917,94,11.92,109.15,78.8,3.36,11.92
camabatela,59,AO,1570050773,92,-8.19,15.37,68.95,1.48,8.19
camacari,90,BR,1570050778,83,-12.7,-38.32,71.6,10.29,12.7
camacha,40,PT,1570050712,78,33.08,-16.33,71.6,5.82,33.08
camacupa,0,AO,1570052826,72,-12.02,17.48,61.87,7.34,12.02
campbellton,28,CA,1570051581,62,48,-66.68,41.32,8.21,48
candolim,40,IN,1570047571,83,15.52,73.76,80.6,5.82,15.52
canmore,75,CA,1570050930,52,51.09,-115.35,48.99,4.7,51.09
caohai,100,CN,1570047609,97,26.87,104.28,55.45,5.55,26.87
cap malheureux,75,MU,1570050686,88,-19.98,57.61,75.2,11.41,19.98
cape canaveral,75,US,1570050706,62,28.41,-80.6,87.01,14.99,28.41
cape town,20,ZA,1570050382,87,-33.93,18.42,61,9.17,33.93
carahue,40,CL,1570047541,50,-38.71,-73.16,57.2,5.82,38.71
caravelas,0,BR,1570047539,74,-17.73,-39.27,72.49,7.47,17.73
carballo,0,ES,1570050679,93,43.21,-8.69,59,3.36,43.21
carlisle,94,GB,1570052905,93,54.89,-2.94,45,5.82,54.89
carmen,40,PH,1570047559,94,7.36,125.71,75.2,3.36,7.36
carnarvon,0,ZA,1570050705,18,-30.97,22.13,59.43,8.16,30.97
cartagena del chaira,85,CO,1570050963,62,1.33,-74.84,85.63,1.99,1.33
carupano,32,VE,1570051003,60,10.67,-63.26,84.46,4.72,10.67
carutapera,61,BR,1570052808,73,-1.2,-46.02,80.85,9.17,1.2
carvalhosa,0,PT,1570050745,87,41.3,-8.36,60.8,2.24,41.3
casas grandes,12,MX,1570051007,46,30.15,-110.24,79.41,3.29,30.15
cascais,20,PT,1570047454,72,38.7,-9.42,66.2,13.87,38.7
castro,20,CL,1570050689,50,-42.48,-73.76,51.8,5.82,42.48
caxito,0,BR,1570047505,69,-22.65,-42.51,75.2,16.11,22.65
cayeli,0,TR,1570050777,40,41.09,40.73,68.35,5.35,41.09
cayenne,86,GF,1570050763,58,4.94,-52.33,87.8,9.17,4.94
celestun,0,MX,1570050702,80,20.87,-90.4,81.96,17.25,20.87
centralia,1,US,1570050817,48,46.72,-122.96,64,1.79,46.72
chabahar,21,IR,1570050986,88,25.29,60.65,80.65,3.6,25.29
chalmette,40,US,1570050725,55,29.94,-89.96,93.99,10.29,29.94
champerico,75,MX,1570050771,52,16.38,-93.6,87.8,8.05,16.38
champua,99,IN,1570052873,86,22.04,85.66,72.3,2.46,22.04
chancay,90,PE,1570050706,77,-11.56,-77.27,66.2,6.93,11.56
chandbali,100,IN,1570050956,83,20.77,86.74,79.35,4.16,20.77
changping,0,CN,1570047524,93,40.22,116.23,77,2.24,40.22
changqing,0,CN,1570051592,93,31.81,117.24,66.2,2.57,31.81
channapatna,76,IN,1570047589,86,12.65,77.22,71.59,2.62,12.65
channel-port aux basques,93,CA,1570051003,76,47.57,-59.14,44.76,22.75,47.57
chanute,75,US,1570050680,55,37.68,-95.46,91.4,13.87,37.68
chany,13,RU,1570050955,68,55.31,76.76,39.81,9.93,55.31
chapais,90,CA,1570050792,56,49.78,-74.86,41,5.82,49.78
chapleau,75,CA,1570050785,75,47.85,-83.4,41,9.17,47.85
charters towers,1,AU,1570052871,81,-20.07,146.27,63.35,12.35,20.07
chatellerault,20,FR,1570052872,76,46.8,0.53,55.99,10.29,46.8
chattanooga,40,US,1570050983,29,35.05,-85.31,98.6,8.05,35.05
chegem,0,RU,1570051543,81,43.56,43.59,57,4.47,43.56
chekhov,0,RU,1570051015,62,55.14,37.45,60.8,8.95,55.14
chemal,0,RU,1570050765,68,51.41,86,25.69,4.32,51.41
cherkasy,38,UA,1570052904,57,49.44,32.06,58.6,10.54,49.44
cherskiy,19,RU,1570050693,86,68.75,161.3,19.97,15.19,68.75
chibombo,100,ZM,1570051634,76,-14.68,28.09,66.66,7.85,14.68
chicomuselo,100,MX,1570051615,71,15.77,-92.27,79.44,4.97,15.77
chifeng,100,CN,1570050756,86,42.27,118.96,51.15,5.95,42.27
chililabombwe,83,ZM,1570047556,82,-12.37,27.84,65.02,7.87,12.37
chimoio,90,MZ,1570047611,100,-19.11,33.48,60.8,2.86,19.11
chino valley,1,US,1570047587,21,34.76,-112.45,82,5.82,34.76
chipata,98,ZM,1570047607,78,-13.64,32.65,68.53,11.32,13.64
chippewa falls,90,US,1570050481,100,44.94,-91.39,50,5.5,44.94
chiredzi,88,ZW,1570050722,68,-21.05,31.67,63.33,4.07,21.05
chivilcoy,0,AR,1570052960,43,-34.9,-60.02,61.42,13.8,34.9
chokurdakh,99,RU,1570050708,94,70.62,147.9,25.73,14.25,70.62
chor,2,PK,1570051608,64,25.52,69.77,81.17,10.4,25.52
christchurch,95,NZ,1570051602,61,-43.53,172.64,51.01,6.93,43.53
chulman,100,RU,1570050697,89,56.84,124.9,21.28,6.53,56.84
chumikan,0,RU,1570052863,61,54.72,135.31,28.14,6.6,54.72
chupa,75,PE,1570050961,54,-15.11,-69.99,53.6,17.22,15.11
churapcha,53,RU,1570050797,80,62,132.43,22.76,8.93,62
chuy,100,UY,1570050695,88,-33.69,-53.46,54.76,23.89,33.69
chuzhou,0,CN,1570050999,90,32.25,118.33,71.01,1.03,32.25
cidreira,100,BR,1570050770,87,-30.17,-50.22,65.29,10.96,30.17
cilaos,20,RE,1570047603,78,-21.13,55.47,73.4,8.05,21.13
ciudad real,0,ES,1570052889,51,38.99,-3.93,66,1.12,38.99
clarence town,0,AU,1570050702,87,-32.59,151.78,59,4.7,32.59
clearwater,40,US,1570050524,43,27.97,-82.8,91.99,9.17,27.97
clyde river,75,CA,1570050691,93,70.47,-68.59,37.4,6.93,70.47
coahuayana,100,MX,1570051640,70,18.62,-100.35,81.8,2.89,18.62
cochrane,20,CL,1570050904,34,-47.25,-72.57,53.6,10.29,47.25
cockburn town,40,TC,1570050789,74,21.46,-71.14,84.2,4.7,21.46
codrington,0,AU,1570050718,93,-28.95,153.24,57.99,8.05,28.95
cogealac,0,RO,1570052903,88,44.56,28.56,66.99,5.82,44.56
coihaique,40,CL,1570050775,46,-45.58,-72.07,51.8,8.05,45.58
coihueco,40,CL,1570050932,44,-36.63,-71.83,57.2,6.93,36.63
college,90,US,1570047545,100,64.86,-147.8,37,8.05,64.86
comodoro rivadavia,75,AR,1570047551,40,-45.87,-67.48,53.6,10.29,45.87
concarneau,90,FR,1570052958,87,47.88,-3.92,51.8,4.7,47.88
conceicao do araguaia,100,BR,1570047604,85,-8.26,-49.26,75.43,2.01,8.26
concordia,90,AR,1570051543,87,-31.4,-58.02,61,11.41,31.4
constantine,75,DZ,1570047531,82,36.36,6.61,59,23.04,36.36
constitucion,75,MX,1570050711,27,23.99,-104.67,78.8,11.41,23.99
copiapo,0,CL,1570051014,58,-27.37,-70.33,59,20.8,27.37
coquimbo,0,CL,1570050675,51,-29.95,-71.34,60.8,13.87,29.95
cordoba,0,AR,1570052935,19,-27.78,-67.24,62.25,10.25,27.78
coria,55,ES,1570047544,65,39.98,-6.54,57.99,4.09,39.98
cortez,1,US,1570051548,16,37.35,-108.58,68,5.82,37.35
coruripe,2,BR,1570051024,79,-10.12,-36.18,73.93,13.42,10.12
cotonou,40,BJ,1570051011,94,6.37,2.43,77,3.36,6.37
cravo norte,87,CO,1570051596,63,6.3,-70.2,89.02,7.38,6.3
crestview,20,US,1570050425,34,30.76,-86.57,98.01,5.82,30.76
cuamba,23,MZ,1570047613,76,-14.8,36.54,72.71,10.58,14.8
cueramaro,75,MX,1570052904,41,20.62,-101.72,78.8,5.01,20.62
cururupu,59,BR,1570051605,80,-1.82,-44.87,77.59,3.98,1.82
custodia,100,BR,1570047615,40,-8.09,-37.64,82.86,0.85,8.09
dagana,44,MR,1570050728,60,16.52,-15.51,86.3,10.13,16.52
dahra,20,DZ,1570052946,64,36.25,0.85,71.6,4.7,36.25
dakar,90,SN,1570051027,83,14.69,-17.45,82.4,8.05,14.69
dalbandin,0,PK,1570050678,36,28.9,64.41,71.11,5.01,28.9
daman,3,IN,1570052858,82,20.42,72.83,81.89,10.98,20.42
darhan,55,MN,1570050740,68,49.49,105.92,27.98,4.05,49.49
darnah,0,LY,1570047539,72,32.77,22.64,75.73,9.71,32.77
daru,87,PG,1570047620,92,-9.07,143.21,74.31,9.82,9.07
datong,89,CN,1570047559,51,40.09,113.3,63.46,3.22,40.09
dauphin,90,CA,1570051599,70,51.15,-100.04,42.8,3.36,51.15
davila,75,PH,1570052838,94,18.47,120.58,75.2,1.12,18.47
deer lake,75,CA,1570050996,65,49.18,-57.43,46.4,5.82,49.18
denpasar,40,ID,1570052902,94,-8.65,115.22,77,6.93,8.65
